size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
0;3.94764e-07;3.11857e-05;0.00473747;0.000403047;0.000225801;0.000831358;0.000555028;0.00251263
500;0;3.19753e-05;0.00522974;0.000401073;0.000240801;0.000816752;0.000575555;0.00229551
1000;0;3.31596e-05;0.00575042;0.000407389;0.000225406;0.000968733;0.00057516;0.00237762
1500;0;3.237e-05;0.00606662;0.000401073;0.000223827;0.000870044;0.000618189;0.00235393
2000;3.94764e-07;3.0791e-05;0.00677955;0.000402652;0.000223827;0.000817146;0.00057595;0.00226551
2500;7.89529e-07;3.31595e-05;0.00691811;0.000423179;0.000223038;0.000866096;0.000588582;0.00226788
3000;0;5.80292e-05;0.00723036;0.000423574;0.000241986;0.000816357;0.00056845;0.0027025
3500;7.89529e-07;5.32921e-05;0.00721892;0.000403047;0.000245933;0.000843595;0.000545159;0.00245815
4000;0;4.61866e-05;0.00728168;0.000402652;0.000227775;0.000815173;0.000545159;0.0022884
4500;0;3.237e-05;0.00749564;0.000417653;0.000223432;0.000813594;0.000589767;0.00227617
5000;0;0.000423969;0.0074834;0.000402652;0.000223432;0.0008432;0.000570818;0.00294488
5500;0;3.31595e-05;0.00764723;0.000407389;0.000236065;0.000815962;0.000618189;0.00229748
6000;3.94764e-07;3.51334e-05;0.00766341;0.000473708;0.000237644;0.000813594;0.000590951;0.00232117
6500;0;3.19753e-05;0.00777;0.000455154;0.000225406;0.000812409;0.000603583;0.00227735
7000;0;3.00015e-05;0.00815488;0.000401073;0.000247118;0.000832542;0.000566476;0.0022738
7500;0;2.96069e-05;0.00810988;0.000403441;0.000246328;0.000821883;0.000545159;0.0024546
8000;0;3.00015e-05;0.00888637;0.000562134;0.000225801;0.00088465;0.00056766;0.00240959
8500;0;3.0791e-05;0.00908572;0.000401073;0.000223827;0.000942679;0.000545159;0.00229433
9000;3.94764e-07;3.27649e-05;0.00880465;0.000403047;0.000223432;0.000834516;0.000570818;0.00227933
9500;0;3.03963e-05;0.00888203;0.000403047;0.000223432;0.000948995;0.000545159;0.00227735
10000;3.94764e-07;3.00015e-05;0.00914178;0.000476471;0.000223827;0.000862938;0.000619373;0.00235867
10500;3.94764e-07;3.00015e-05;0.00924718;0.000403047;0.000223827;0.000838463;0.000567265;0.00224182
11000;1.97382e-06;3.63176e-05;0.00979194;0.000402652;0.000247512;0.000811225;0.00056766;0.00234012
11500;0;3.00015e-05;0.0101508;0.000402652;0.000247118;0.000813594;0.000545159;0.00229512
12000;3.94764e-07;3.00015e-05;0.0103967;0.0004216;0.000240407;0.00107887;0.000568055;0.00224103
12500;0;3.00015e-05;0.0101745;0.0004141;0.000281856;0.000872412;0.000685692;0.00231485
13000;3.94764e-07;3.0791e-05;0.0103189;0.000389625;0.000241196;0.000896887;0.000607925;0.00237999
13500;3.94764e-07;3.23701e-05;0.0107761;0.000391599;0.000218695;0.000814383;0.000588582;0.00228683
14000;3.94764e-07;3.00015e-05;0.0104026;0.000412126;0.000227775;0.000872017;0.000545159;0.00230735
14500;0;2.96069e-05;0.0106201;0.000433838;0.000263303;0.000811225;0.000545159;0.00229393
15000;3.94764e-07;3.00015e-05;0.0111333;0.000475287;0.000239223;0.000840437;0.000561344;0.00227419
15500;0;3.03963e-05;0.0108795;0.000442127;0.000218695;0.000932021;0.000561344;0.00228643
16000;3.94764e-07;3.00015e-05;0.0113816;0.000392783;0.000224222;0.000873991;0.000582266;0.00230104
16500;0;3.237e-05;0.0115833;0.000442128;0.000239617;0.000812804;0.000662007;0.00232709
17000;0;3.23701e-05;0.0110931;0.000456339;0.000228169;0.000816357;0.000569634;0.00233499
17500;0;2.96067e-05;0.0111428;0.000403046;0.00022738;0.000891755;0.000560949;0.00231012
18000;3.94764e-07;3.0791e-05;0.0116911;0.000402652;0.000228169;0.000976233;0.000560949;0.00234841
18500;0;3.15805e-05;0.011369;0.000476077;0.000228169;0.000839647;0.000561344;0.0022513
19000;3.94764e-07;3.00015e-05;0.011924;0.000428706;0.000221853;0.000815962;0.000585819;0.00231564
19500;0;3.31595e-05;0.0121842;0.00041331;0.000285409;0.000836489;0.000565292;0.00264645
20000;3.94764e-07;3.00015e-05;0.0121455;0.000402652;0.000229748;0.000838068;0.000583056;0.00233972
20500;0;3.03962e-05;0.0117807;0.000401073;0.000219485;0.000817541;0.000568055;0.00227182
21000;3.94764e-07;3.27647e-05;0.0120184;0.000403047;0.000439364;0.000819515;0.000560554;0.00234091
21500;0;3.03963e-05;0.0119599;0.000427127;0.000226196;0.000841227;0.000571608;0.00234249
22000;0;3.15806e-05;0.0121356;0.000403046;0.000249091;0.000848727;0.000565292;0.00231485
22500;3.94764e-07;4.5397e-05;0.0120906;0.000451207;0.000226196;0.000818331;0.000564897;0.00229946
23000;0;3.19753e-05;0.012185;0.000401073;0.00022659;0.000919783;0.000565291;0.00236025
23500;0;3.11858e-05;0.0123511;0.000391993;0.000226985;0.00082662;0.000634374;0.00232156
24000;3.94764e-07;5.76344e-05;0.0121044;0.000497393;0.000228564;0.000842411;0.000565292;0.00229275
24500;0;3.11858e-05;0.0123942;0.00039002;0.000226196;0.000822673;0.000564897;0.00242302
25000;3.94764e-07;2.96067e-05;0.0123184;0.000412126;0.000226196;0.000875176;0.000566081;0.00236262
25500;0;2.96067e-05;0.0125841;0.000452786;0.000228959;0.000838068;0.000581477;0.0022513
26000;3.94764e-07;3.00015e-05;0.013383;0.000403047;0.000247907;0.0010844;0.000565292;0.00230104
26500;3.94764e-07;3.11857e-05;0.0136381;0.000403441;0.000226985;0.000820304;0.000565291;0.00226393
27000;3.94764e-07;3.00015e-05;0.0129658;0.000403441;0.000250276;0.000822278;0.000572397;0.00269777
