size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
0;0.000164219;0.000166982;0.000696351;0.000207247;0.000181588;0.000219879;0.000223037;0.000508052
500;0.000165798;0.000163035;0.00088465;0.000193825;0.000181983;0.000220274;0.000265671;0.000409757
1000;0.000169351;0.000163429;0.00113848;0.000194615;0.00017922;0.000220669;0.000281067;0.000411731
1500;0.000168956;0.000163824;0.00114322;0.000193825;0.000178825;0.000219485;0.000262908;0.00042989
2000;0.000163824;0.000163429;0.00101374;0.000193036;0.000180009;0.000220669;0.000343833;0.000466208
2500;0.000164614;0.000163034;0.000910309;0.000204089;0.000180798;0.000218695;0.000353307;0.000407784
3000;0.000189483;0.000163824;0.00102124;0.000193431;0.000179614;0.000219879;0.00107216;0.000406205
3500;0.00016264;0.000163035;0.00107413;0.000198168;0.000182378;0.000219879;0.000315805;0.0004291
4000;0.000168166;0.000163429;0.00128217;0.000200142;0.000183957;0.000239617;0.00114045;0.000406205
4500;0.000168166;0.000165403;0.00102045;0.000194615;0.000187115;0.000233696;0.000551475;0.000406994
5000;0.000164219;0.000163035;0.000987681;0.000196984;0.00018672;0.0002183;0.000383309;0.000406205
5500;0.000163429;0.000163429;0.000991629;0.000192641;0.000191457;0.00021909;0.000277514;0.000406599
6000;0.000162245;0.000163824;0.000992813;0.000192641;0.000187904;0.000219485;0.00028462;0.000405415
6500;0.000162245;0.000163429;0.00100426;0.000193036;0.000182378;0.00021909;0.000270803;0.000409363
7000;0.000162245;0.000163035;0.00102281;0.000200536;0.000202905;0.000219879;0.000271593;0.000402257
7500;0.000162245;0.000164219;0.00106545;0.000198563;0.0002108;0.000219485;0.000206852;0.000406205
8000;0.000162245;0.000163429;0.00107295;0.000196589;0.000307515;0.000219485;0.000232512;0.000403836
8500;0.000163824;0.000163824;0.00107295;0.00019422;0.000196589;0.00021909;0.000183562;0.000403836
9000;0.000163429;0.000165008;0.00112466;0.000206853;0.00018593;0.000222248;0.000221853;0.000402652
9500;0.000162245;0.000163035;0.00115743;0.000193826;0.000186325;0.000219485;0.00025225;0.000405415
10000;0.000162245;0.000163429;0.00134809;0.000191852;0.00017922;0.000219485;0.000223432;0.000401862
10500;0.000162245;0.000164614;0.00139586;0.000192247;0.000189483;0.00022738;0.000265277;0.000402652
11000;0.000162245;0.000166982;0.00148192;0.000192641;0.000184351;0.000219485;0.000277119;0.000403836
11500;0.000166587;0.000163429;0.00176614;0.000191852;0.000186325;0.000220274;0.000277514;0.000403047
12000;0.000162245;0.000163824;0.00253868;0.000198563;0.000185536;0.000218695;0.000280672;0.000410547
12500;0.000162245;0.000163429;0.00204523;0.000191852;0.000193826;0.00021909;0.000277909;0.00039002
13000;0.000163824;0.000163035;0.00127783;0.000191457;0.000193826;0.00021988;0.000277119;0.000389625
13500;0.000163429;0.000164613;0.00130862;0.000191852;0.000197378;0.00021909;0.00027633;0.000411731
14000;0.000165403;0.000163429;0.00143731;0.000191457;0.000197773;0.0002183;0.000213958;0.00039002
14500;0.000163824;0.000163429;0.00131336;0.000191062;0.000211984;0.00021988;0.000183562;0.0004216
15000;0.000165798;0.000170535;0.0014981;0.000191852;0.000196194;0.000219879;0.000185536;0.00039002
15500;0.000163824;0.000165798;0.00160113;0.000191457;0.000211195;0.000219879;0.000182772;0.000388835
16000;0.000163035;0.000164614;0.00162324;0.000193036;0.000661217;0.00025146;0.000238038;0.000419626
16500;0.000167772;0.000171719;0.00186562;0.000191062;0.000180009;0.000213169;0.000189878;0.000413705
