size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
0;0.00237328;0.000122769;0.000926889;0.000266856;0.000155929;0.000525421;0.000450812;0.000508052
500;0.00309963;4.57917e-05;0.000889782;0.000632795;0.000245933;0.00014527;9.11888e-05;0.00015356
1000;0.00345057;5.80293e-05;0.000888597;0.001144;0.00036436;0.000609504;0.000536869;0.000610689
1500;0.00306568;6.67139e-05;0.000890966;0.00128138;0.000449233;0.000180799;0.0001054;0.000193431
2000;0.00277869;7.81618e-05;0.000892545;0.00234762;0.000702667;0.000208432;0.000120796;0.000211984
2500;0.00224498;8.44779e-05;0.000894913;0.00236104;0.00069714;0.000225801;0.000135007;0.000233696
3000;0.00235551;9.31626e-05;0.000955311;0.00233696;0.000768196;0.000247512;0.000148429;0.00025067
3500;0.00254342;0.000160271;0.000909519;0.00269185;0.00109348;0.000268435;0.000157113;0.000277119
4000;0.00264369;0.000117637;0.000934784;0.00489775;0.00140652;0.00120006;0.00104847;0.00117243
4500;0.0026125;0.000126717;0.000877149;0.00505012;0.00137849;0.000264487;0.000139349;0.000277119
5000;0.00289317;0.000156324;0.000937152;0.00517447;0.00129993;0.000283041;0.000164614;0.000286199
5500;0.00369966;0.000143297;0.00091702;0.00469208;0.00136862;0.000286199;0.000150008;0.000294489
6000;0.00303844;0.000160666;0.000915046;0.00463089;0.00144994;0.000298831;0.000160271;0.000307121
6500;0.00404665;0.000165403;0.000929257;0.00467708;0.00156876;0.000301989;0.00016264;0.000315805
7000;0.00316871;0.000187115;0.000896887;0.0048334;0.00164969;0.000331596;0.000177246;0.000320542
7500;0.00320385;0.000198563;0.000937547;0.00546343;0.00190707;0.000341859;0.000183167;0.000341465
8000;0.00335385;0.000212379;0.000926889;0.00871465;0.00260658;0.00034107;0.000185141;0.000346991
8500;0.00351294;0.000217511;0.000914651;0.0105207;0.00299699;0.000362781;0.000194615;0.00035686
9000;0.00370282;0.000232906;0.000911493;0.00988629;0.0026725;0.000367913;0.000198168;0.000363571
9500;0.00359663;0.000253039;0.000920573;0.0100252;0.00270132;0.000379756;0.000205274;0.00037344
10000;0.0037115;0.000264092;0.000931231;0.00987681;0.00274632;0.000384493;0.000208432;0.000383309
10500;0.00417692;0.000307515;0.000933994;0.00912954;0.0025825;0.00040581;0.000224222;0.000387256
11000;0.0041406;0.000300015;0.000955311;0.00952074;0.0027329;0.000402652;0.000221853;0.000404626
11500;0.00418047;0.00032449;0.000954127;0.00867044;0.00280159;0.000433048;0.000232512;0.000395546
12000;0.00416113;0.000351333;0.00105124;0.00977378;0.00289554;0.000439364;0.000240802;0.000431864
12500;0.00486932;0.000355281;0.00092531;0.00950258;0.00299226;0.000436206;0.000242775;0.000435811
13000;0.00993721;0.000362387;0.000929652;0.0100047;0.00313989;0.000436996;0.000245933;0.000452786
13500;0.00773565;0.000420811;0.00117637;0.00980181;0.00304989;0.000475682;0.000266856;0.000446865
14000;0.00647519;0.000418442;0.00103821;0.0102795;0.00340754;0.000476077;0.000264487;0.00047884
14500;0.0045847;0.000424758;0.00090794;0.00960482;0.00339728;0.000476077;0.000266461;0.000460681
15000;0.00471853;0.000446865;0.000980576;0.0104121;0.00361795;0.000499367;0.00027633;0.000477261
15500;0.00490604;0.000475682;0.000906361;0.0107303;0.00385638;0.000512394;0.000286199;0.000497393
16000;0.00492577;0.000501341;0.000964785;0.0139306;0.00450615;0.00252723;0.00221458;0.00244907
16500;0.00498262;0.000503709;0.00094939;0.0214321;0.00578358;0.000459102;0.000218695;0.000457128
17000;0.00642427;0.000503315;0.000963996;0.0217949;0.00583253;0.000441733;0.000211984;0.000454365
17500;0.00528777;0.000523447;0.000930441;0.0219204;0.00587635;0.00046226;0.000220274;0.000474103
