size;array;vector;bst;deque;bittrick deque;tiered vector (k=2);bittrick tiered vector (k=2);deque tiered vector (k=2)
500000;0.170276;0.0264424;0.00187312;0.46027;0.0893398;0.00248341;0.00154429;0.00251342
499500;0.169904;0.0277103;0.00166193;0.440806;0.0880896;0.00260618;0.00156205;0.00224774
499000;0.169787;0.025384;0.00162561;0.411193;0.0807033;0.00251263;0.00148271;0.00214708
498500;0.172278;0.0259217;0.00162837;0.423346;0.0856658;0.00249881;0.00144244;0.0021609
498000;0.167658;0.0259213;0.0016789;0.426309;0.0868544;0.00247473;0.00141915;0.00218656
497500;0.177764;0.0267006;0.0018897;0.403239;0.0830158;0.00250828;0.00146652;0.00210405
497000;0.169729;0.0247718;0.00162679;0.418092;0.0874343;0.00242736;0.00142705;0.00219801
496500;0.163378;0.0264732;0.00162403;0.41215;0.0846741;0.00253868;0.00167693;0.00207287
496000;0.169697;0.0260378;0.00160311;0.419664;0.0907202;0.00251421;0.00145547;0.00231801
495500;0.167772;0.0246119;0.00160113;0.39747;0.0795928;0.00243604;0.00137217;0.00204326
495000;0.170081;0.0250643;0.00171956;0.431387;0.0860577;0.00246368;0.00134415;0.00216721
494500;0.164767;0.0249056;0.00189681;0.392791;0.079335;0.00248618;0.00130546;0.00205273
494000;0.164374;0.0259331;0.00254144;0.416676;0.0827813;0.00245933;0.0012802;0.00211945
493500;0.16689;0.025853;0.00251736;0.404009;0.0836288;0.00239262;0.00122296;0.00210997
493000;0.173541;0.027177;0.00172627;0.42417;0.0851344;0.00245736;0.0012873;0.00221774
492500;0.187939;0.0252881;0.00168877;0.430969;0.0860866;0.00244473;0.00123243;0.00219248
492000;0.170524;0.0269129;0.00166074;0.399828;0.0820016;0.00254263;0.00130546;0.00208234
491500;0.160778;0.0260291;0.00161613;0.416353;0.0821872;0.0025067;0.00126204;0.00213208
491000;0.173816;0.0265087;0.00161613;0.395963;0.0796268;0.00253394;0.00127427;0.00211826
490500;0.162857;0.0266259;0.00158929;0.406979;0.0820079;0.00254539;0.0012798;0.00216248
490000;0.176046;0.0274269;0.00165758;0.4146;0.0854005;0.00258724;0.00127704;0.00221103
489500;0.16768;0.0268462;0.00165364;0.399505;0.0827623;0.00250749;0.00126835;0.00214353
489000;0.173703;0.0261455;0.00206734;0.406895;0.0842419;0.00253315;0.00126559;0.00213011
488500;0.16689;0.0239925;0.00239973;0.404453;0.0824647;0.00238473;0.00118348;0.00212379
488000;0.159204;0.0252222;0.00214511;0.394993;0.0790548;0.00248697;0.00124112;0.00211432
487500;0.155859;0.026076;0.00176693;0.387081;0.0779822;0.0025375;0.00126756;0.00207366
487000;0.162348;0.0261641;0.00238236;0.41202;0.0838767;0.00253868;0.0012723;0.00210958
486500;0.161006;0.0244698;0.00237288;0.413265;0.0822381;0.0024167;0.00119493;0.00209182
486000;0.157588;0.0248239;0.00202392;0.404844;0.0823451;0.00239065;0.00118782;0.00206576
485500;0.158348;0.0255767;0.00252605;0.40492;0.0821347;0.00240604;0.00120361;0.00204602
485000;0.152759;0.0259241;0.00225169;0.41244;0.0818228;0.00245144;0.0012269;0.00207089
484500;0.161034;0.0260682;0.0020405;0.399392;0.0819286;0.00245302;0.00123717;0.00208905
484000;0.158337;0.0268391;0.00162284;0.392494;0.0775271;0.00249013;0.00124704;0.002048
483500;0.156576;0.02641;0.00163271;0.392587;0.0782139;0.00247789;0.00129362;0.00205037
483000;0.15844;0.0262268;0.00157982;0.393516;0.0858651;0.00266856;0.00124664;0.00199076
482500;0.157192;0.026393;0.00157074;0.413591;0.0833837;0.00285212;0.00126441;0.00206616
482000;0.153821;0.024803;0.00158969;0.406135;0.085524;0.00263658;0.00119138;0.00208274
481500;0.149358;0.0249897;0.00157784;0.400224;0.0805205;0.00255684;0.00119611;0.00209379
481000;0.154934;0.0246881;0.00157468;0.400935;0.0818102;0.00247947;0.00119611;0.00205945
480500;0.172185;0.0246786;0.00156718;0.398711;0.0958576;0.00239341;0.00118545;0.00209497
480000;0.154654;0.024017;0.00157232;0.394552;0.085031;0.00236064;0.00116216;0.0020255
479500;0.14555;0.0241702;0.00155139;0.400517;0.0876143;0.0023642;0.00116769;0.00202708
479000;0.150346;0.0235733;0.00152573;0.39491;0.0793749;0.00268948;0.00114914;0.002048
478500;0.151776;0.0246897;0.00153323;0.414722;0.084213;0.00292673;0.00119414;0.00211076
478000;0.145514;0.0239759;0.00153087;0.403869;0.0871986;0.00258842;0.00116651;0.00207484
477500;0.149893;0.0247248;0.00158613;0.387329;0.0764233;0.00268277;0.00120243;0.00205037
477000;0.152215;0.0262711;0.00154429;0.407387;0.0830059;0.00266619;0.00123717;0.00204642
476500;0.149721;0.0254275;0.00157705;0.412408;0.0842359;0.00248223;0.00133704;0.00214787
476000;0.145952;0.023698;0.00159758;0.401711;0.082019;0.00240565;0.00118624;0.00206537
475500;0.157672;0.0257662;0.00164337;0.396267;0.085346;0.00252723;0.00125691;0.00202747
475000;0.14966;0.0231331;0.00159482;0.400204;0.0794566;0.00235828;0.00113769;0.00206024
474500;0.147771;0.0248085;0.00155416;0.397027;0.0841005;0.0024696;0.0012048;0.0020176
474000;0.14594;0.0251373;0.00155139;0.390835;0.0791286;0.00247552;0.00122177;0.00203379
473500;0.14765;0.0249052;0.0016639;0.416084;0.0843824;0.00241038;0.00120085;0.00206655
473000;0.147161;0.0260997;0.00162521;0.389973;0.0817292;0.00248302;0.00124269;0.0019797
472500;0.143643;0.0259888;0.00162363;0.394609;0.0790461;0.00246604;0.00121388;0.00206024
472000;0.147968;0.0236826;0.00172469;0.390583;0.0828843;0.00234446;0.00114953;0.00201444
471500;0.144685;0.0244544;0.00160153;0.391956;0.080787;0.00245618;0.0011973;0.00205352
471000;0.142695;0.0248128;0.00157232;0.386774;0.0775038;0.00242223;0.00119848;0.00204839
470500;0.147817;0.0249534;0.00157192;0.40032;0.0803965;0.00249052;0.00122138;0.00204563
470000;0.142034;0.0240758;0.00155574;0.391661;0.0786774;0.00241433;0.00121625;0.00205589
469500;0.142852;0.0237008;0.00161219;0.397482;0.0792154;0.00235591;0.00115664;0.00200773
469000;0.15248;0.0244346;0.00158376;0.380283;0.0774406;0.00251776;0.00119414;0.0019876
